24.1;El retard en el pintat del perímetre d'espai autoritzat per a terrasses i vetlladors, o en la collocació de testos on sigui obligatori.;L;100 €;400 €;750 €
24.2;El retard ocasional en la neteja de l'espai autoritzat.;L;100 €;400 €;750 €
24.3;Deixar les cadires desordenades quan quedin desocupades.;L;100 €;400 €;750 €
24.4;No exposar en lloc visible l'imprès sobre les característiques de la llicència.;L;100 €;400 €;750 €
24.5;No netejar l'espai autoritzat per al vetllador o terrassa una vegada tret de l'espai públic.;L;100 €;400 €;750 €
24,6;Ocupar més espai de l'autoritzat.;L;100 €;400 €;750 €
24.7;Posar més taules, cadires o testos dels autoritzats.;L;100 €;400 €;750 €
24.8;La installació d'aparells acústics o d'altres elements no permesos.;L;100 €;400 €;750 €
24.9;No evitar sorolls i molèsties provinents de les persones ocupants de les terrasses.;L;100 €;400 €;750 €
24.10;Causar sorolls i molèsties en la retirada diària dels vetlladors i terrasses.;L;100 €;400 €;750 €
24.11;No retirar diàriament els vetlladors o terrasses, o no complir l'horari autoritzat en la seva retirada.;L;100 €;400 €;750 €
24.12;La publicitat o installació de para-sols o altre mobiliari sense l'autorització prèvia.;L;100 €;400 €;750 €
24.13;La installació de cadires, taules o testos sense autorització.;L;100 €;400 €;750 €
24.14;L'incompliment de l'horari del vetllador.;L;100 €;400 €;750 €
24.15;No respectar l'espai mínim per al pas de vianants o la distància de la línia de vorada.;L;100 €;400 €;750 €
24.16;Qualsevol altra infracció no prevista com a greu o molt greu;L;100 €;400 €;750 €
25.1;Ocupar amb qualsevol element una part de la calçada o lloc dedicat al tràsit rodat;G;751 €;1.100 €;1.500 €
25.2;Posar installació elèctrica o estufes sense els requisists reglamentaris;G;751 €;1.100 €;1.500 €
25,3;Causar sorolls que pertorbin el descans veïnal, provinents del vetllador, i que ultrapassin els nivells màxims admesos a la via pública.;G;751 €;1.100 €;1.500 €
25.4;La reincidència en dues o més faltes lleus.;G;751 €;1.100 €;1.500 €
26,1;La installació de les escomeses de forma perillosa.;MG;1.501 €;2.250 €;3.000 €
26,2;Impedir la tasca inspectora de l'autoritat competent,;MG;1.501 €;2.250 €;3.000 €
26.3;El canvi de titularitat de l'establiment al qual s'annexa el vetllador sense haver instat ni obtingut la conformitat municipal.;MG;1.501 €;2.250 €;3.000 €
26.4;La reincidència en dues o més faltes greus.;MG;1.501 €;2.250 €;3.000 €
