37.3.a;La ocupación del dominio público marítimo terrestre por instalaciones y/o la realización de actividades sin el correspondiente título o autorización habilitante.;MG;1.500,01 €;3.000 €
37.3.b;La colocación no autorizada de instalaciones en el dominio público terrestre, así como el aumento de la superficie, volumen y altura autorizados.;MG;1.500,01 €;3.000 €.
37.3.c;Cualquiera de las conductas tipificadas como infracción grave cuando por su intensidad provoque una perturbación relevante de la convivencia, impedimento del uso de un servicio público o del espacio público por otras personas con derecho a utilizarlo, impedimento u obstrucción grave del funcionamiento normal de un servicio público o un deterioro grave y relevante de equipamientos, instalaciones, infraestructuras o elementos, ya sean muebles o inmuebles, de un servicio público o del espacio público.;MG;1.500,01 €;3.000 €.
37.3.d;Las conductas vandálicas, agresivas o negligentes en el uso del mobiliario urbano que generen situaciones de riesgo o peligro para la salud y la integridad física de las personas o los bienes.;MG;1.500,01 €;3.000 €.
37.3.e;La emisión de cualquier señal lumínica con puntos de luz, punteros láser u objetos análogos que puedan alterar o estorbar la navegación aérea.;MG;1.500,01 €;3.000 €.
37.3.f;La entrada de embarcaciones dentro de los espacios balizados para proteger el baño de los usuarios de las playas.;MG;1.500,01 €;3.000 €.
37.4.a;La interrupción de los accesos públicos al mar y de la servidumbre de tránsito;G;750,01 €;1.500 €
37.4.b;El incumplimiento por los sujetos autorizados de las obligaciones impuestas en el respectivo título o autorización, siempre que por su naturaleza no pueda ser considerada una infracción muy grave;G;750,01 €;1.500 €
37.4.c;El estacionamiento y circulación no autorizada de vehículos en la playa, excepto de los autorizados a hacerlo;G;750,01 €;1.500 €
37.4.d;La realización de cualquier tipo de pintada, graffiti, con cualquier materia o producto o rayar la superficie sobre cualquier elemento, instalación, objeto o espacios de uso público;G;750,01 €;1.500 €
37.4.e;Estropear o deteriorar el mobiliario urbano o los elementos naturales situados en el dominio público marítimo terrestres;G;750,01 €;1.500 €
37.4.f;La colocación de carteles, vallas, pancartas, adhesivos o cualquier otro tipo de anuncio, publicidad o propaganda al mobiliario urbano o natural y en general a en cualquier elemento que, situado en el espacio público, esté destinado a dar servicio a los ciudadanos;G;750,01 €;1.500 €
37.4.g;La realización de necesidades fisiológicas en el ámbito de aplicación de esta Ordenanza, cuando haya otros usuarios cerca;G;750,01 €;1.500 €
37.4.h;Cocinar y realizar cáterings en la playa, así como hacer fuego mediante el uso de bombonas de gas y/o líquidos inflamables;G;750,01 €;1.500 €
37.4.i;No respetar la prohibición de bañarse o de acceso a la playa cuando haya bandera roja;G;750,01 €;1.500 €
37.4.j;Tirarse al agua y/o bañarse en zonas de espigones, rocallas, embarcaderos, franjas señalizadas donde el baño esté prohibido o de acceso restringido y otros lugares similares que, por la orografía propia de la zona de domino público marítimo terrestre, constituyan un riesgo para la seguridad de la persona y del resto de usuarios;G;750,01 €;1.500 €
37.4.k;Cualquier conducta prohibida de les que se contemplan en el artículo 28 de esta Ordenanza, excepto cuando el hecho este tipificado en algún otro apartado de este artículo, en cuyo caso será de aplicación preferente;G;750,01 €;1.500 €
37.4.l;La práctica de juegos, deportes o actividades que comporten un riesgo relevante para la seguridad de las personas o de los bienes;G;750,01 €;1.500 €
37.4.m;El consumo de bebidas alcohólicas en el espacio público objeto de la regulación mediante esta Ordenanza, fuera de las instalaciones autorizadas o sin que se tenga la autorización municipal correspondiente, cuando pueda alterar gravemente la convivencia ciudadana;G;750,01 €;1.500 €
37.4.n;La utilización de material pirotécnico sin respetar las prohibiciones y/o limitaciones establecidas en esta Ordenanza;G;750,01 €;1.500 €
37.4.o;La entrada de embarcaciones dentro de los espacios balizados para proteger las playas incluidas dentro de la Red Natura 2000 y su presencia en el canal de entrada y salida de embarcaciones exclusivo del servicio de salvamento y socorrismo;G;750,01 €;1.500 €
37.5.a;La realización de actividades en la playa o dentro del agua que puedan perturbar los legítimos derechos de los demás usuario, siempre que después de ser debidamente advertidos de la necesidad de respetar el derecho de los demás, se continuasen realizando;L;;750 €
37.5.b;La emisión, por cualquier medio, de ruido que moleste al resto de usuarios, siempre que después de ser debidamente advertidos de la necesidad de respetar el derecho de los demás, se continuase realizando;L;;750 €
37.5.c;El incumplimiento de los sujetos autorizados de las obligaciones impuestas en el respectivo título o autorización, siempre que por su naturaleza no deba ser considerada una infracción muy grave;L;;750 €
37.5.d;La colocación de carteles, vallas, pancartas, adhesivos o cualquier otro tipo de anuncio, publicidad o propaganda en el mobiliario urbano o natural y, en general, en cualquier elemento situado en el espacio público, excepto cuando esté destinado a dar servicio a los ciudadanos, en cuyo caso constituye una infracción grave;L;;750 €
37.5.e;La realización de necesidades fisiológicas en el ámbito de aplicación de esta Ordenanza, excepto que deba considerarse infracción grave;L;;750 €
37.5.f;El consumo de bebidas alcohólicas en el espacio público objeto de la regulación mediante esta Ordenanza, fuera de las instalaciones autorizadas o sin que se tenga la autorización municipal correspondiente, cuando pueda alterar la convivencia ciudadana;L;;750 €
37.5.g;La venta ambulante de alimentos o de otros productos o artículos, excepto si se tiene autorización municipal específica, así como la compra de estos productos;L;;750 €
37.5.h;La realización de actividades o la prestación de servicios no autorizados como masajes, tatuajes, videntes, etc., i la demanda, uso o consumo de éstos;L;;750 €
37.5.i;La instalación de campamentos y la acampada en la playa, incluido el hecho de pernoctar;L;;750 €
37.5.j;Lavarse en el mar o en las duchas, fuentes y lavapies haciendo servir jabón, gel, champú u otros productos similares;L;;750 €
37.5.k;Lavar ropa en el mar o en las duchas, fuentes o lavapies;L;;750 €
37.5.l;Hacer fuego en la playa, excepto si esta acción tiene la consideración de infracción grave;L;;750 €
