77.17;Tirar papers o deixalles fora de les papereres i embrutar la via pública de qualsevol altra manera;L;100;400;750;50;200;375
77.18;Fer treballs o activitats, sense autorització, a la via pública o el mobiliari urbà;L;100;400;750;50;200;375
77.19;Col·locar cartells o propaganda fora dels llocs habilitats a tal efecte i a l'arbrat públic;L;100;400;750;50;200;375
77.20;Posar pancartes a l’enllumenat públic o altres elements urbans;L;100;400;750;50;200;375
77.21;No respectar l’horari, ni l’ordre establert als espectacles públics;L;100;400;750;50;200;375
77.22;Dipositar residus fora dels llocs determinats (contenidors, papereres, deixalleria);L;100;400;750;50;200;375
77.23;No dipositar els residus domèstics dins els contenidors de manera selectiva i/o fora de l’horari establert;L;100;400;750;50;200;375
77.24;Triar i seleccionar residus dipositats a la via pública, inclosos els que es troben dins dels contenidors;L;100;400;750;50;200;375
77.25;No retirar els contenidors o sacs de runa en el temps establert a la llicència o que no es disposi de llicència;L;100;400;750;50;200;375
77.26;No deixar neta de runes o residus la zona on estaven situats els contenidors o sacs de runes, o la zona on s’havien estat efectuant treballs o activitats;L;100;400;750;50;200;375
77.27;Moure o desplaçar contenidors sota qualsevol concepte;L;100;400;750;50;200;375
77.28;Abocar animals morts o restes d’animals a la via pública, canals, entorn natural o agrícola;L;100;400;750;50;200;375
77.29;Abandonar hams, sedals i altres residus a la sorra de les platges del municipi;L;100;400;750;50;200;375
77.30;No recollir les deposicions dels animals, excepte els gossos pigalls;L;100;400;750;50;200;375
77.31;Permetre que els animals domèstics efectuïn les seves miccions en les voreres, les façanes dels edificis i en el mobiliari urbà;L;100;400;750;50;200;375
77.32;Portar el gos sense lligar o sense corretja a la via o espai públic;L;100;400;750;50;200;375
77.33;Pescar en els estanys i basses situats als parcs i jardins;L;100;400;750;50;200;375
77.34;Practicar la mendicitat;L;100;400;750;50;200;375
77.35;Efectuar necessitats fisiològiques a la via pública (defecar);L;100;400;750;50;200;375
77.36;Efectuar necessitats fisiològiques a la via pública (miccions);L;100;400;750;50;200;375
77.37;Efectuar necessitats fisiològiques a la via pública (escopir);L;100;400;750;50;200;375
77.38;Rentar i reparar qualsevol tipus de vehicles a la via pública;L;100;400;750;50;200;375
77.39;Produir sorolls originats per les acceleracions brusques i estridents, així com els originats per l’excessiu volum dels equips musicals, a qualsevol hora del dia;L;100;400;750;50;200;375
77.40;Utilitzar megàfons de propaganda sense autorització municipal;L;100;400;750;50;200;375
77.41;Consumir alcohol en via pública;L;100;400;750;50;200;375
77.42;Circular i romandre amb gossos als espais naturals protegits;L;100;400;750;50;200;375
77.43;Envair la sorra de la platja amb qualsevol vehicle a motor, excepte els degudament autoritzats;L;100;400;750;50;200;375
77.44;Abocar aigües residuals als escocells dels arbres de la via pública;L;100;400;750;50;200;375
77.45;Abocar mobles, trastos vells i electrodomèstics a la via pública, camins, canals, espais naturals o agrícoles, ocupant un espai de fins  a 3 m²;G;100;400;750;50;200;375
77.46;Utilitzar injustificadament els sistemes d'alarma o emergència;G;100;400;750;50;200;375
77.47;Col·locar contenidors o sacs de runa sense permís municipal;L;100;400;750;50;200;375
77.48;Accedir amb vehicles a motor als parcs públics o parcs naturals, a les platges o als espais naturals, sense autorització;L;100;400;750;50;200;375
77.49;Fer barbacoes fora dels llocs autoritzats a l’efecte o sense prendre les degudes precaucions;L;100;400;750;50;200;375
77.50;Danyar o maltractar qualsevol element del mobiliari urbà i contenidors de recollida de residus;L;100;400;750;50;200;375
77.51;Danyar o maltractar l'arbrat, jardins i d'altres elements de la via pública o espais públics en general;L;100;400;750;50;200;375
77.52;Realitzar "graffitis" i pintades sense autorització;L;100;400;750;50;200;375
77.53;Mancar el respecte i tenir conductes d' insolidaritat envers altres persones;L;100;400;750;50;200;375
77.54;Mantenir una conducta no respectuosa i/o incorrecta amb els agents de l'autoritat;L;100;400;750;50;200;375
77.55;Alterar el descans o la convivència veïnal;L;100;400;750;50;200;375
77.56;No evitar actes incívics  dels clients, per part  dels titulars dels diferents establiments;L;100;400;750;50;200;375
77.57;Trepitjar les àrees protegides en els espais naturals;L;100;400;750;50;200;375
77.58;Incomplir les mesures establertes en els plans d’emergència municipal o en els de sequera;L;100;400;750;50;200;375
77.59;Les conductes assenyalades coma prohibides en aquesta Ordenança i que no estiguin tipificades coma infraccions greus o molt greus.;L;100;400;750;50;200;375
