78,1;Consumir o tenir (quan no siguin infracció penal) drogues, estupefaents o substàncies psicòtropes en llocs, vies, establiments o transports públics;G;751;1.100;1.500
78,2;Abandonar estris o instruments utilitzats per al consum de drogues, en llocs, vies, establiments o transports públics;G;751;1.100;1.500
78,3;Tolerar el consum il•legal o el tràfic de drogues tòxiques, estupefaents o substàncies psicòtropes en locals o establiments públics, o la manca de diligència per impedir-los per part dels propietaris, administradors o encarregats;G;751;1.100;1.500
78,4;Practicar la mendicitat utilitzant menors d’edat o amb pressió o coacció a d'altres ciutadans (quan no sigui infracció penal);G;751;1.100;1.500
78,5;No procurar, el pare, mare, tutor o guardador legal, l’assistència del menor al centre escolar durant el període d'escolarització obligatòria.;G;751;1.100;1.500
78,6;Alterar l’ordre públic;G;751;1.100;1.500
78,7;Practicar jocs a la via pública i fer malbé els bens públics i privats ;G;751;1.100;1.500
78,8;Embrutar i deslluir els edificis públics i privats ;G;751;1.100;1.500
78,9;Fer focs i activitats pirotècniques sense el permís preceptiu ;G;751;1.100;1.500
78.10;Utilitzar o ocupar la via pública o els espais públics sense la corresponent autorització, amb fins lucratius ;G;751;1.100;1.500
78,11;Fer treballs o activitats, sense autorització, que modifiquin la via pública o el mobiliari urbà ;G;751;1.100;1.500
78,12;No reposar els elements afectats, desprès d’haver efectuat obres a la via pública ;G;751;1.100;1.500
78,13;No protegir la zona ocupada per efectuar treballs a la via pública ;G;751;1.100;1.500
78,14;Incomplir l’ordre de manteniment de solars i jardins, quan impedeixin la visibilitat de senyals de trànsit o qualsevol altre element urbà ;G;751;1.100;1.500
78,15;Instal•lar aparells d'aire condicionat o antenes parabòliques a la façana ;G;751;1.100;1.500
78,16;Elevar els nivells sonors per sobre dels límits establerts ;G;751;1.100;1.500
78,17;Abocar residus líquids o cendres incandescents a l’interior dels contenidors de recollida d’escombraries domiciliaries, a la via pública, als camins, als canals i als espais naturals i/o agrícoles considerats especials;G;751;1.100;1.500
78,18;No fer-se càrrec, les indústries i comerços, de la gestió dels seus residus, segons la normativa vigent ;G;751;1.100;1.500
78,19;Caçar, matar ocells o altres animals i dur a terme activitats que perjudiquin la fauna general ;G;751;1.100;1.500
78,2;Produir per acció o omissió pudors molestes, nocives o perjudicials per a persones o el medi ambient;G;751;1.100;1.500
78,21;Negar-se o resistir-se a la pasca inspectora i de vigilància de l'Administració, així com negar-se o resistir-se a facilitar les dades a les autortitats competents.;G;751;1.100;1.500
78,2;Posar en funcionament aparells, instrumetns mecànics o vehicles precintats.;G;751;1.100;1.500
78,23;Acampar amb qualsevol mitjà a la via pública o l'espai públic ;G;751;1.100;1.500
78,24;Encendre foc, incloses barbacoes, en zones naturals o en temporades de prohibició ;G;751;1.100;1.500
78,25;Permetre que els animals domèstis efectuin les seves miccions o deposicions en zones de joc infantil. ;G;751;1.100;1.500
77,1;No fer un bon ús dels bens públics;L;100;350;750
77,2;No respectar les normes de comportament a la via pública;L;100;350;750
77,3;No respectar els drets dels altres a gaudir dels bens públics;L;100;350;750
77,4;Efectuar un mal ús de les fonts públiques;L;100;350;750
